iter	Passed	Remaining
613	20281	12750
614	20312	12716
615	20344	12682
616	20376	12648
617	20407	12614
618	20439	12580
619	20473	12548
620	20504	12513
621	20536	12480
622	20567	12445
623	20597	12411
624	20649	12389
625	20680	12355
626	20711	12321
627	20742	12286
628	20773	12252
629	20804	12218
630	20833	12183
631	20863	12148
632	20893	12113
633	20942	12089
634	20985	12062
635	21025	12033
636	21060	12001
637	21092	11967
638	21122	11932
639	21153	11898
640	21204	11875
641	21238	11843
642	21271	11810
643	21303	11776
644	21337	11743
645	21369	11710
646	21402	11677
647	21437	11645
648	21471	11612
649	21505	11579
650	21538	11546
651	21572	11514
652	21604	11480
653	21637	11447
654	21672	11415
655	21706	11382
656	21739	11349
657	21770	11315
658	21804	11282
659	21836	11249
660	21868	11215
661	21899	11181
662	21930	11147
663	21962	11113
664	21991	11078
665	22021	11043
666	22052	11009
667	22083	10975
668	22114	10941
669	22145	10907
670	22175	10873
671	22207	10839
672	22246	10809
673	22278	10775
674	22310	10741
675	22340	10707
676	22370	10673
677	22402	10639
678	22432	10604
679	22463	10571
680	22494	10536
681	22524	10502
682	22555	10468
683	22583	10433
684	22615	10399
685	22645	10365
686	22674	10330
687	22702	10295
688	22732	10260
689	22763	10227
690	22793	10192
691	22826	10159
692	22855	10124
693	22887	10091
694	22918	10057
695	22949	10023
696	22980	9990
697	23011	9956
698	23042	9922
699	23074	9889
700	23105	9855
701	23139	9822
702	23171	9789
703	23203	9756
704	23234	9722
705	23266	9688
706	23298	9655
707	23330	9622
708	23362	9588
709	23393	9554
710	23441	9528
711	23535	9520
712	23568	9486
713	23600	9453
714	23630	9419
715	23663	9386
716	23697	9353
717	23733	9321
718	23771	9290
719	23808	9258
720	23850	9229
721	23883	9196
722	23919	9164
723	23956	9132
724	23991	9100
725	24028	9068
726	24073	9039
727	24110	9008
728	24147	8976
729	24185	8945
730	24222	8913
731	24271	8886
732	24307	8854
733	24346	8823
734	24384	8791
735	24421	8759
736	24459	8728
737	24512	8702
738	24552	8671
739	24589	8639
740	24626	8607
741	24662	8575
742	24698	8543
743	24734	8510
744	24771	8478
745	24812	8448
746	24852	8417
747	24887	8384
748	24925	8352
749	24959	8319
750	24995	8287
751	25030	8254
752	25064	8221
753	25099	8188
754	25136	8156
755	25171	8124
756	25204	8090
757	25240	8058
758	25277	8026
759	25320	7995
760	25358	7964
761	25398	7932
762	25451	7905
763	25528	7885
764	25575	7856
765	25612	7824
766	25656	7793
767	25691	7761
768	25726	7727
769	25761	7694
770	25795	7661
771	25830	7628
772	25866	7595
773	25900	7562
774	25936	7529
775	25971	7497
776	26008	7464
777	26042	7431
778	26077	7398
779	26113	7365
780	26148	7332
781	26182	7299
782	26221	7267
783	26256	7234
784	26290	7200
785	26320	7166
